,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
96,Djibouti,177,,,2020-03-23,2020-05-17,2020-03-19,,2020-03-22,,2020-03-22,,2020-03-23,2020-05-17
97,Dominican Republic,111,2020-03-19,2020-04-13,,,2020-03-19,,2020-03-25,,2020-03-19,,2020-03-19,2020-05-20
98,Durango,4652,,,2020-04-19,,2020-03-22,,2020-04-02,,2020-03-29,,2020-03-30,
99,East Asia and Pacific,60898,,,,,,,,,,,,
100,Ecuador,122,2020-03-18,,2020-03-17,,2020-03-13,,2020-03-15,,2020-03-15,,2020-03-17,
101,Egypt,141,,,,,2020-03-15,,2020-03-09,,2020-03-24,,,
102,El Salvador,127,,,2020-03-11,2020-06-16,2020-03-11,,2020-03-11,,2020-03-14,,,
103,Emilia-Romagna,35502,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
104,England,4749,,,2020-03-23,2020-06-01,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-06-01
105,Equatorial Guinea,172,,,2020-03-31,,2020-03-17,,2020-03-17,,2020-03-23,,2020-03-31,2020-06-15
106,Espírito Santo,4757,,,,,2020-03-16,,2020-03-17,,2020-03-17,,2020-03-20,
107,Estonia,58,,,,,2020-03-16,2020-05-15,2020-03-13,,2020-03-13,2020-07-01,,
108,Eswatini,197,,,2020-03-27,2020-06-05,2020-03-17,,2020-03-17,,2020-03-27,,2020-03-27,2020-04-15
109,Ethiopia,179,,,,,2020-03-16,,2020-03-16,,2020-03-20,,,
110,Europe and Central Asia,60899,,,,,,,,,,,,
111,Extremadura,60362,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
112,Finland,79,2020-03-25,2020-05-29,,,2020-03-18,,2020-03-12,,2020-03-18,2020-06-01,2020-04-04,2020-06-01
113,Florida,532,,,2020-04-03,2020-05-18,2020-03-17,,2020-04-03,2020-06-05,2020-03-17,2020-09-25,,
114,France,80,2020-03-17,2020-05-11,2020-03-18,2020-05-11,2020-03-13,2020-05-25,2020-03-04,,2020-03-15,,2020-03-15,2020-05-11
